45.0,car,0.5177152752876282,0.4706866145133972,0.5819925665855408,0.5164196491241455
6.0,toilet,0.3978717625141144,0.2905883193016052,1.0,0.8606316447257996
4.0,book,0.08900278806686401,0.0013421624898910522,1.0,0.3480064868927002
23.0,car,0.46422895789146423,0.6752250790596008,0.7303739786148071,0.9106023907661438
30.0,car,0.5102770328521729,0.46655720472335815,0.5885797739028931,0.5162580609321594
54.0,person,0.11065620183944702,0.543772280216217,0.5987560153007507,0.7069447636604309
54.0,truck,0.1686343550682068,0.0,0.9804200530052185,0.9794562458992004
57.0,truck,0.17008209228515625,0.0,0.9819474220275879,0.9748343825340271
57.0,person,0.11439287662506104,0.5451275706291199,0.6056147813796997,0.6939510703086853
71.0,person,0.10492357611656189,0.5680786371231079,0.3872201144695282,0.7027127742767334
71.0,truck,0.19736960530281067,0.00630497932434082,0.9844976663589478,0.9575948119163513
69.0,truck,0.2004128098487854,0.008525609970092773,0.9832208752632141,0.9620140194892883
69.0,person,0.10600283741950989,0.5750682353973389,0.3692775070667267,0.6732137203216553
78.0,truck,0.159316748380661,0.0071125030517578125,0.9777947664260864,0.9691433310508728
78.0,person,0.1071176826953888,0.5544787645339966,0.6095001697540283,0.7039116621017456
61.0,truck,0.20009750127792358,0.0002821683883666992,0.9861055016517639,0.9527900218963623
85.0,person,0.0913255512714386,0.5562199950218201,0.5994542837142944,0.7024689316749573
59.0,truck,0.18598487973213196,0.0,0.9855818748474121,0.9656265377998352
85.0,truck,0.14889895915985107,0.004718154668807983,0.9742351770401001,0.969403862953186
85.0,person,0.24430829286575317,0.05135670304298401,0.35674548149108887,0.10039767622947693
81.0,truck,0.14827066659927368,0.007076621055603027,0.976942241191864,0.9780120849609375
90.0,person,0.0982912927865982,0.5585201978683472,0.5861740708351135,0.7134779691696167
90.0,truck,0.17327135801315308,0.008949041366577148,0.9738823771476746,0.9651110768318176
90.0,person,0.2817249298095703,0.1535855084657669,0.3781358003616333,0.2085123211145401
90.0,person,0.23692844808101654,0.06840796768665314,0.3603281080722809,0.12417468428611755
83.0,truck,0.16681569814682007,0.003749370574951172,0.9764872193336487,0.9787461757659912
83.0,person,0.11005762219429016,0.5625792145729065,0.6136248111724854,0.7126863598823547
83.0,person,0.26192188262939453,0.1774519830942154,0.34305548667907715,0.2191275805234909
93.0,person,0.23888900876045227,0.08436177670955658,0.36491718888282776,0.14033502340316772
93.0,truck,0.19136160612106323,0.007488995790481567,0.9750767350196838,0.9607328176498413
93.0,person,0.2880670428276062,0.1584651619195938,0.3758789300918579,0.20824597775936127
93.0,person,0.09973055124282837,0.5625295042991638,0.6062309145927429,0.7100332379341125
